481|506>Returning:1476464417.34
475|502>Returning:1476463940.73
486|504>Returning:1476464379.49
483|505>Returning:1476464425.57
484|505>Returning:1476465568.79
474|489>Returning:1476463988.7
480|502>Returning:1476464181.66
485|486>Returning:1476464466.66
489|498>Returning:1476465590.9
489|500>Returning:1476466266.96
492|495>Returning:1476467280.15
480|481>Returning:1476466885.31
491|500>Returning:1476467709.74
483|499>Returning:1476463932.34
474|495>Returning:1476465134.97
480|490>Returning:1476464073.0
483|490>Returning:1476464088.16
484|490>Returning:1476464501.65
485|490>Returning:1476465016.98
485|496>Returning:1476465030.94
478|489>Returning:1476465190.15
483|488>Returning:1476465221.13
484|496>Returning:1476464613.56
487|493>Returning:1476466225.86
476|490>Returning:1476466299.33
477|499>Returning:1476466631.05
486|487>Returning:1476467085.27
475|498>Returning:1476467506.41
481|484>Returning:1476467529.83
482|484>Returning:1476467544.98
485|501>Returning:1476467676.74
482|483>Returning:1476468174.26
479|483>Returning:1476468303.7
486|483>Returning:1476469065.62
491|493>Returning:1476471000.46
481|481>Returning:1476471355.78
491|489>Returning:1476471536.53
478|495>Returning:1476465473.95
474|494>Returning:1476469020.39
484|494>Returning:1476465613.33
480|487>Returning:1476467401.86
476|496>Returning:1476467950.33
475|497>Returning:1476469860.44
474|493>Returning:1476469937.03
473|495>Returning:1476470976.34
473|498>Returning:1476472164.54
490|500>Returning:1476472960.96
491|499>Returning:1476471525.74
481|493>484|490>Returning:1476490874.98
481|493>483|501>Returning:1476492822.69
481|493>486|487>Returning:1476492839.42
481|493>485|496>Returning:1476491036.98
481|493>478|489>Returning:1476491523.25
481|493>483|505>Returning:1476495879.09
481|493>491|489>Returning:1476495909.8
481|493>485|489>Returning:1476492699.3
481|493>483|499>Returning:1476492915.62
481|493>483|488>Returning:1476492738.44
481|493>476|490>Returning:1476493763.55
481|493>476|496>Returning:1476493794.21
481|493>481|484>Returning:1476494994.0
481|493>482|484>Returning:1476495024.77
481|493>486|483>Returning:1476496516.35
481|493>491|493>Returning:1476496547.1
481|493>470|497>Returning:1476497607.77
481|493>469|491>Returning:1476498036.24
481|493>486|506>Returning:1476498072.98
481|493>480|490>Returning:1476492394.16
481|493>483|490>Returning:1476492424.94
481|493>484|496>Returning:1476492853.78
481|493>485|486>Returning:1476495162.49
481|493>469|497>Returning:1476498873.58
481|493>474|495>Returning:1476495640.97
481|493>474|494>Returning:1476495899.45
481|493>470|494>Returning:1476498606.56
481|493>485|496>Returning:1476494199.8
481|493>481|481>Returning:1476498278.15
481|493>478|489>Returning:1476494873.01
481|493>482|483>Returning:1476497682.71
481|493>492|495>Returning:1476499338.2
481|493>491|500>Returning:1476499461.03
481|493>481|506>Returning:1476499496.98
481|493>470|496>Returning:1476499870.29
481|493>483|506>Returning:1476499901.65
481|493>483|490>Returning:1476494675.13
481|493>484|496>Returning:1476495418.72
481|493>483|499>Returning:1476496755.93
481|493>477|499>Returning:1476497451.73
481|493>483|501>Returning:1476497921.69
481|493>486|487>Returning:1476497952.49
481|493>475|502>Returning:1476499962.36
481|493>490|500>Returning:1476500186.81
481|493>485|490>Returning:1476496672.34
481|493>483|488>Returning:1476497177.88
481|493>486|504>Returning:1476501199.29
481|493>491|499>Returning:1476501716.62
481|493>483|490>Returning:1476496810.75
481|493>481|484>Returning:1476500378.55
481|493>482|484>Returning:1476500409.2
481|493>480|490>Returning:1476497501.65
481|493>484|490>Returning:1476497930.41
481|493>484|496>Returning:1476497961.07
481|493>480|487>Returning:1476499112.52
481|493>479|483>Returning:1476502159.26
481|493>483|505>Returning:1476503328.87
481|493>486|483>Returning:1476503282.64
481|493>491|493>Returning:1476503313.29
481|493>484|505>Returning:1476503892.75
481|493>483|490>Returning:1476499037.03
481|493>484|494>Returning:1476499096.41
481|493>483|488>Returning:1476500441.5
481|493>480|490>Returning:1476499728.19
481|493>482|483>Returning:1476503580.34
481|493>470|497>Returning:1476505502.59
481|493>484|490>Returning:1476500471.94
481|493>484|496>Returning:1476500502.62
481|493>483|501>Returning:1476502944.09
481|493>486|487>Returning:1476502974.75
481|493>469|491>Returning:1476506307.17
481|493>486|506>Returning:1476506343.79
481|493>484|494>Returning:1476500369.24
481|493>480|490>Returning:1476500639.81
481|493>483|490>Returning:1476500654.2
481|493>478|495>Returning:1476500958.66
481|493>484|490>Returning:1476501082.39
481|493>484|496>Returning:1476501096.26
481|493>485|490>Returning:1476501610.91
481|493>485|496>Returning:1476501625.7
481|493>478|489>Returning:1476501783.69
481|493>483|488>Returning:1476501815.61
481|493>480|487>Returning:1476502290.66
481|493>485|489>Returning:1476502305.96
481|493>483|499>Returning:1476502506.67
481|493>487|493>Returning:1476502810.97
481|493>476|490>Returning:1476502884.27
481|493>476|496>Returning:1476502898.53
481|493>477|499>Returning:1476503230.0
481|493>475|497>Returning:1476503494.55
481|493>474|493>Returning:1476503558.57
481|493>485|486>Returning:1476503583.0
481|493>474|495>Returning:1476505117.6
481|493>483|501>Returning:1476505136.03
481|493>486|487>Returning:1476505152.21
481|493>474|494>Returning:1476505461.77
481|493>474|489>Returning:1476505701.58
481|493>475|498>Returning:1476505723.2
481|493>481|484>Returning:1476505747.71
481|493>482|484>Returning:1476505764.28
481|493>480|502>Returning:1476505889.75
481|493>485|501>Returning:1476505947.44
481|493>473|495>Returning:1476504553.05
481|493>489|498>Returning:1476504890.38
481|493>482|483>Returning:1476504941.61
481|493>479|483>Returning:1476505074.48
481|493>473|498>Returning:1476505529.41
481|493>489|500>Returning:1476505617.57
481|493>486|483>Returning:1476505869.75
481|493>491|493>Returning:1476505890.6
481|493>475|502>Returning:1476506017.7
481|493>481|481>Returning:1476503202.89
481|493>480|481>Returning:1476503239.03
481|493>490|500>Returning:1476503559.58
481|493>486|504>Returning:1476503613.34
481|493>483|505>Returning:1476503644.09
481|493>491|489>Returning:1476503662.4
481|493>484|505>Returning:1476503769.51
481|493>484|494>Returning:1476502244.58
481|493>491|499>Returning:1476508210.74
481|493>491|500>Returning:1476508227.22
481|493>480|490>Returning:1476503021.03
481|493>483|490>Returning:1476503123.13
481|493>478|495>Returning:1476503430.33
481|493>484|496>Returning:1476504131.59
481|493>485|490>Returning:1476504653.25
481|493>485|496>Returning:1476504668.66
481|493>481|506>Returning:1476506082.07
481|493>478|489>Returning:1476504934.65
481|493>483|488>Returning:1476504968.92
481|493>484|494>Returning:1476504081.37
481|493>480|487>Returning:1476505873.89
481|493>485|489>Returning:1476505891.42
481|493>480|490>Returning:1476505147.55
481|493>483|506>Returning:1476510765.71
481|493>484|490>Returning:1476505685.5
481|493>477|499>Returning:1476505786.19
481|493>478|495>Returning:1476505779.22
481|493>481|481>Returning:1476510453.4
481|493>475|497>Returning:1476508227.66
481|493>474|493>Returning:1476508291.45
481|493>485|486>Returning:1476508316.52
481|493>480|481>Returning:1476510635.87
481|493>490|500>Returning:1476507647.15
481|493>486|504>Returning:1476507702.64
481|493>483|505>Returning:1476507735.2
481|493>491|489>Returning:1476507752.35
481|493>470|497>Returning:1476508136.82
481|493>484|505>Returning:1476507974.44
481|493>484|494>Returning:1476505948.59
481|493>483|490>Returning:1476506646.83
481|493>485|490>Returning:1476507649.8
481|493>485|496>Returning:1476507664.88
481|493>473|495>Returning:1476510246.58
481|493>489|498>Returning:1476510767.62
481|493>482|483>Returning:1476510818.73
481|493>470|494>Returning:1476512726.02
481|493>470|496>Returning:1476512916.66
481|493>469|491>Returning:1476513158.84
481|493>478|489>Returning:1476508213.48
481|493>483|488>Returning:1476508245.47
481|493>474|495>Returning:1476511398.05
481|493>483|501>Returning:1476511413.77
481|493>486|487>Returning:1476511432.27
481|493>479|483>Returning:1476511192.45
481|493>474|494>Returning:1476512031.37
481|493>473|498>Returning:1476512022.59
481|493>484|490>Returning:1476508152.0
481|493>474|489>Returning:1476510982.2
481|493>475|498>Returning:1476511005.47
481|493>481|484>Returning:1476512533.06
481|493>482|484>Returning:1476512552.06
481|493>489|500>Returning:1476512292.77
481|493>486|506>Returning:1476516309.67
481|493>469|497>Returning:1476516636.11
481|493>478|495>Returning:1476508272.11
481|493>480|487>Returning:1476509516.4
481|493>485|489>Returning:1476509536.56
481|493>477|499>Returning:1476510404.07
481|493>480|502>Returning:1476512888.13
481|493>485|501>Returning:1476512945.97
481|493>486|483>Returning:1476514692.57
481|493>491|493>Returning:1476512790.75
481|493>475|502>Returning:1476512914.85
481|493>481|506>Returning:1476513688.35
481|493>484|494>Returning:1476507239.08
481|493>483|490>Returning:1476508743.79
481|493>484|494>Returning:1476509100.35
481|493>485|490>Returning:1476510688.57
481|493>485|496>Returning:1476510707.07
481|493>490|500>Returning:1476514808.37
481|493>486|504>Returning:1476514892.44
481|493>483|505>Returning:1476514933.65
481|493>491|489>Returning:1476511902.98
481|493>484|505>Returning:1476512212.25
481|493>484|490>Returning:1476510607.51
481|493>470|497>Returning:1476512619.61
481|493>480|490>Returning:1476510355.84
481|493>478|495>Returning:1476510663.27
481|493>478|489>Returning:1476511432.21
481|493>483|488>Returning:1476511463.96
481|493>475|497>Returning:1476513038.39
481|493>474|493>Returning:1476513103.35
481|493>485|486>Returning:1476511109.79
481|493>491|499>Returning:1476512766.91
481|493>491|500>Returning:1476512785.38
481|493>484|494>Returning:1476510933.52
481|493>483|490>Returning:1476511208.97
481|493>487|493>Returning:1476512038.54
481|493>476|490>Returning:1476514444.29
481|493>473|495>Returning:1476515874.44
481|493>478|479>Returning:1476515188.2
481|493>477|499>Returning:1476514932.43
481|493>481|481>Returning:1476514536.1
481|493>484|490>Returning:1476513090.57
481|493>480|481>Returning:1476514687.31
481|493>485|496>Returning:1476513827.12
481|493>489|498>Returning:1476516729.16
481|493>482|483>Returning:1476516782.01
481|493>483|506>Returning:1476518580.23
481|493>475|481>Returning:1476519018.95
481|493>484|494>Returning:1476512847.58
481|493>474|489>Returning:1476516330.12
481|493>475|498>Returning:1476516349.32
481|493>485|486>Returning:1476515924.09
481|493>479|483>Returning:1476517200.58
481|493>483|490>Returning:1476512506.04
481|493>484|496>Returning:1476513911.99
481|493>478|489>Returning:1476514572.54
481|493>483|488>Returning:1476515490.25
481|493>474|495>Returning:1476517755.64
481|493>483|501>Returning:1476517772.76
481|493>487|493>Returning:1476517301.41
481|493>474|494>Returning:1476517208.89
481|493>473|498>Returning:1476515819.24
481|493>484|505>Returning:1476519536.92
481|493>483|499>Returning:1476516194.1
481|493>489|500>Returning:1476518951.74
481|493>480|487>Returning:1476516233.79
481|493>484|494>Returning:1476514655.51
481|493>485|489>Returning:1476516642.74
481|493>475|497>Returning:1476517760.22
481|493>475|502>Returning:1476520498.97
481|493>476|490>Returning:1476518549.18
481|493>491|499>Returning:1476522046.95
481|493>491|500>Returning:1476522066.31
481|493>481|506>Returning:1476522088.88
481|493>470|497>Returning:1476522273.97
481|493>470|494>Returning:1476518970.28
481|493>470|496>Returning:1476519087.7
481|493>469|491>Returning:1476519236.16
481|493>484|494>Returning:1476516476.41
481|493>478|489>Returning:1476517793.5
481|493>486|483>Returning:1476521452.26
481|493>481|481>Returning:1476523728.45
481|493>480|481>Returning:1476523789.73
481|493>490|500>Returning:1476521905.65
481|493>477|499>Returning:1476519411.9
481|493>486|504>Returning:1476522111.23
481|493>483|505>Returning:1476522155.67
481|493>481|484>Returning:1476520877.03
481|493>473|495>Returning:1476521421.03
481|493>483|499>Returning:1476519961.94
481|493>486|506>Returning:1476526830.45
481|493>484|494>Returning:1476518272.68
481|493>480|490>Returning:1476518547.4
481|493>486|487>Returning:1476521377.35
481|493>489|498>Returning:1476522574.4
481|493>469|497>Returning:1476525167.5
481|493>485|490>Returning:1476519876.7
481|493>483|490>Returning:1476519178.11
481|493>474|494>Returning:1476522376.41
481|493>479|483>Returning:1476523295.24
481|493>475|497>Returning:1476523781.92
481|493>474|495>Returning:1476522660.28
481|493>483|501>Returning:1476522677.73
481|493>478|489>Returning:1476521030.4
481|493>478|495>Returning:1476520504.69
481|493>483|488>Returning:1476522181.37
481|493>484|494>Returning:1476520616.04
481|493>483|506>Returning:1476526513.21
481|493>489|500>Returning:1476525514.52
481|493>470|494>Returning:1476526797.76
481|493>475|481>Returning:1476527130.85
481|493>470|496>Returning:1476527109.15
481|493>469|491>Returning:1476527517.9
481|493>484|505>Returning:1476526984.83
481|493>485|490>Returning:1476522967.0
481|493>483|499>Returning:1476523803.15
481|493>485|486>Returning:1476524805.37
481|493>492|495>Returning:1476527606.22
481|493>483|490>Returning:1476522536.41
481|493>475|502>Returning:1476527355.1
481|493>484|496>Returning:1476523594.96
481|493>478|489>Returning:1476524269.99
481|493>486|487>Returning:1476526351.36
481|493>473|495>Returning:1476527036.71
481|493>486|483>Returning:1476528286.87
481|493>484|490>Returning:1476524316.8
481|493>483|488>Returning:1476525323.06
481|493>486|504>Returning:1476529344.51
481|493>483|505>Returning:1476529400.54
481|493>491|499>Returning:1476529892.49
481|493>491|500>Returning:1476529925.36
481|493>481|506>Returning:1476529961.33
481|493>470|497>Returning:1476530161.35
481|493>483|490>Returning:1476524763.26
481|493>474|495>Returning:1476527602.86
481|493>483|501>Returning:1476527633.55
481|493>489|498>Returning:1476528640.51
481|493>482|483>Returning:1476528707.44
481|493>485|489>Returning:1476527411.01
481|493>483|499>Returning:1476527627.36
481|493>475|497>Returning:1476528572.31
481|493>482|484>Returning:1476529206.42
481|493>491|493>Returning:1476530697.95
481|493>481|481>Returning:1476531251.47
481|493>480|481>Returning:1476531297.0
481|493>484|494>Returning:1476526329.75
481|493>480|490>Returning:1476526599.4
481|493>483|490>Returning:1476526613.53
481|493>478|495>Returning:1476526919.4
481|493>484|490>Returning:1476527041.4
481|493>484|496>Returning:1476527056.04
481|493>485|490>Returning:1476527571.75
481|493>485|496>Returning:1476527585.73
481|493>478|489>Returning:1476527748.57
481|493>483|488>Returning:1476527779.02
481|493>480|487>Returning:1476528254.11
481|493>485|489>Returning:1476528269.75
481|493>483|499>Returning:1476528470.75
481|493>487|493>Returning:1476528775.24
481|493>476|490>Returning:1476530017.26
481|493>476|496>Returning:1476530032.28
481|493>477|499>Returning:1476530454.07
481|493>475|497>Returning:1476530789.59
481|493>474|493>Returning:1476530866.82
481|493>485|486>Returning:1476530894.05
481|493>474|495>Returning:1476531080.89
481|493>483|501>Returning:1476531095.41
481|493>486|487>Returning:1476531110.58
481|493>474|494>Returning:1476531419.65
481|493>474|489>Returning:1476530160.59
481|493>475|498>Returning:1476530178.42
481|493>481|484>Returning:1476530201.0
481|493>482|484>Returning:1476530216.13
481|493>480|502>Returning:1476530315.72
481|493>485|501>Returning:1476530363.79
481|493>473|495>Returning:1476530504.12
481|493>489|498>Returning:1476530848.77
481|493>482|483>Returning:1476528388.96
481|493>479|483>Returning:1476528470.53
481|493>473|498>Returning:1476528737.35
481|493>489|500>Returning:1476528795.37
481|493>486|483>Returning:1476528947.65
481|493>491|493>Returning:1476528962.69
481|493>475|502>Returning:1476529038.35
481|493>481|481>Returning:1476529145.51
481|493>480|481>Returning:1476529181.03
481|493>490|500>Returning:1476532205.83
481|493>486|504>Returning:1476532751.38
481|493>484|494>Returning:1476528133.24
481|493>480|490>Returning:1476528662.57
481|493>483|490>Returning:1476528677.46
481|493>483|505>Returning:1476530720.53
481|493>484|505>Returning:1476534114.72
481|493>491|499>Returning:1476534433.61
481|493>478|495>Returning:1476529297.07
481|493>484|490>Returning:1476529510.17
481|493>484|496>Returning:1476529524.96
481|493>491|500>Returning:1476534770.84
481|493>485|490>Returning:1476530583.59
481|493>485|496>Returning:1476530599.06
481|493>478|489>Returning:1476530886.19
481|493>483|488>Returning:1476530916.9
